Full name:,Date of birth:,Place of birth:,Age:,Height:,Citizenship:,Position:,Foot:,Player agent:,                            Current club:                        ,Joined:,Contract expires:,Date of last contract extension:,Outfitter:,Social-Media:,Market Value,Name in home country:,Contract option:,On loan from:,Contract there expires:,2nd club:,3nd club:
Alisson,"Oct 2, 1992 ",Novo Hamburgo   ,29,"1,91 m",  Brazil                            ,                            Goalkeeper                        ,right,NWS - Neis World Sports ,Liverpool FC ,"                                Jul 19, 2018                            ","Jun 30, 2027","Aug 4, 2021",Nike,"['http://twitter.com/Alissonbecker', 'http://www.facebook.com/AlissonBeckerOficial/', 'http://www.instagram.com/alissonbecker/']",                $55.00m                ,,,,,,
Caoimhin Kelleher,"Nov 23, 1998 ",Cork   ,23,"1,88 m",  Ireland                            ,                            Goalkeeper                        ,right,ICM Stellar Sports ,Liverpool FC ,"                                Jul 1, 2019                            ","Jun 30, 2026","Jun 24, 2021",,['http://www.instagram.com/caoimhinkelleher98/'],                $8.80m                ,Caoimhin Odhran Kelleher,,,,,
Adrian,"Jan 3, 1987 ",Sevilla   ,35,"1,90 m",  Spain                            ,                            Goalkeeper                        ,right,Bahía Internacional ,Liverpool FC ,"                                Aug 5, 2019                            ","Jun 30, 2023","Jun 14, 2021",adidas,"['http://twitter.com/AdriSanMiguel', 'http://t.co/hfN5mbmZnw']",                $1.10m                ,,,,,,
Virgil Van Dijk,"Jul 8, 1991 ",Breda   ,31,"1,93 m",  Netherlands  Suriname                            ,                            Defender - Centre-Back                        ,right,,Liverpool FC ,"                                Jan 1, 2018                            ","Jun 30, 2025","Aug 13, 2021",Nike,"['http://twitter.com/VirgilvDijk', 'http://www.instagram.com/virgilvandijk/']",                $60.50m                ,,,,,,
Ibrahima Konate,"May 25, 1999 ",Paris   ,23,"1,94 m",  France  Mali                            ,                            Defender - Centre-Back                        ,right,ICM Stellar Sports ,Liverpool FC ,"                                Jul 1, 2021                            ","Jun 30, 2026",,Nike,"['http://twitter.com/ibrahimakonate_', 'http://www.facebook.com/IbrahimaKonateOfficial', 'http://www.instagram.com/ibrahimakonate/']",                $44.00m                ,,,,,,
Joe Gomez,"May 23, 1997 ",London   ,25,"1,88 m",  England  The Gambia                            ,                            Defender - Centre-Back                        ,right,Wasserman ,Liverpool FC ,"                                Jul 1, 2015                            ","Jun 30, 2027","Jul 7, 2022",Nike,"['http://twitter.com/J_Gomez97', 'http://t.co/ujVIYfJVei']",                $19.80m                ,Joseph Dave Gomez,,,,,
Joel Matip,"Aug 8, 1991 ",Bochum   ,31,"1,95 m",  Cameroon  Germany                            ,                            Defender - Centre-Back                        ,right,ASBW Sport Marketing ,Liverpool FC ,"                                Jul 1, 2016                            ","Jun 30, 2024","Oct 18, 2019",adidas,,                $19.80m                ,Joel André Matip Job,,,,,
Nathaniel Phillips,"Mar 21, 1997 ",Bolton   ,25,"1,90 m",  England                            ,                            Defender - Centre-Back                        ,right,PLG ,Liverpool FC ,"                                Jul 1, 2019                            ","Jun 30, 2025",,,['http://www.instagram.com/nathaniel_phillips/'],                $8.80m                ,Nathaniel Harry Phillips,,,,,
Sepp Van Den Berg,"Dec 20, 2001 ",Zwolle   ,20,"1,89 m",  Netherlands                            ,                            Defender - Centre-Back                        ,right,Key United ,Liverpool FC ,"                                Jul 1, 2019                            ","Jun 30, 2024",,,['http://www.instagram.com/seppvdberg_/'],                $5.50m                ,,,,,,
Andrew Robertson,"Mar 11, 1994 ",Glasgow   ,28,"1,78 m",  Scotland                            ,                            Defender - Left-Back                        ,left,PLG ,Liverpool FC ,"                                Jul 21, 2017                            ","Jun 30, 2026","Aug 24, 2021",Nike,"['http://twitter.com/andrewrobertso5', 'http://www.instagram.com/andyrobertson94/']",                $71.50m                ,Andrew Henry Robertson,,,,,
Konstantinos Tsimikas,"May 12, 1996 ",Thessaloniki   ,26,"1,79 m",  Greece                            ,                            Defender - Left-Back                        ,left,Prosport International ,Liverpool FC ,"                                Aug 10, 2020                            ","Jun 30, 2025",,adidas,['http://www.instagram.com/tsimikas21/'],                $16.50m                ,Κωνσταντίνος Τσιμίκας,,,,,
Trent Alexander Arnold,"Oct 7, 1998 ",Liverpool   ,23,"1,80 m",  England                            ,                            Defender - Right-Back                        ,right,PLG ,Liverpool FC ,"                                Jul 1, 2016                            ","Jun 30, 2025","Jul 30, 2021",Under Armour,"['http://twitter.com/TrentAA', 'http://www.facebook.com/trentarnold66/', 'http://www.instagram.com/trentarnold66/']",                $88.00m                ,Trent John Alexander-Arnold,,,,,
Calvin Ramsay,"Jul 31, 2003 ",Aberdeen   ,19,"1,77 m",  Scotland                            ,                            Defender - Right-Back                        ,right,,Liverpool FC ,"                                Jul 1, 2022                            ","Jun 30, 2027",,,"['http://twitter.com/calvinramsay03', 'http://twitter.com/calvinramsay03', 'http://www.instagram.com/calvin_ramsay/']",                $5.50m                ,Calvin William Ramsay,,,,,
Fabinho,"Oct 23, 1993 ",Campinas   ,28,"1,88 m",  Brazil                            ,                            midfield - Defensive Midfield                        ,right,Gestifute ,Liverpool FC ,"                                Jul 1, 2018                            ","Jun 30, 2026","Aug 3, 2021",adidas,"['http://twitter.com/_fabinhotavares', 'http://www.facebook.com/fabinhotavaresoficial', 'http://www.instagram.com/fabinho/']",                $66.00m                ,,,,,,
Curtis Jones,"Jan 30, 2001 ",Liverpool   ,21,"1,85 m",  England                            ,                            midfield - Central Midfield                        ,right,Wasserman ,Liverpool FC ,"                                Jul 1, 2020                            ","Jun 30, 2025","Jul 4, 2020",Nike,"['http://twitter.com/curtisjr_10', 'http://www.instagram.com/curtisjr/']",                $30.80m                ,,,,,,
Naby Keita,"Feb 10, 1995 ",Conakry   ,27,"1,72 m",  Guinea                            ,                            midfield - Central Midfield                        ,right,ROOF ,Liverpool FC ,"                                Jul 1, 2018                            ","Jun 30, 2023",,Nike,"['http://www.facebook.com/NabyKeitaNK8/', 'http://www.instagram.com/keitanabydeco/']",                $27.50m                ,Naby Laye Keïta,,,,,
Thiago,"Apr 11, 1991 ",San Pietro Vernotico   ,31,"1,74 m",  Spain  Brazil                            ,                            midfield - Central Midfield                        ,right,The Player Management ,Liverpool FC ,"                                Sep 18, 2020                            ","Jun 30, 2024",,adidas,"['http://twitter.com/Thiago6', 'http://www.facebook.com/thiago6alcantara', 'http://www.instagram.com/thiago6/', 'http://www.thiagoalcantara91.com/']",                $22.00m                ,,,,,,
Alex Oxlade Chamberlain,"Aug 15, 1993 ",Portsmouth   ,29,"1,75 m",  England                            ,                            midfield - Central Midfield                        ,right,Colossal Sports Management ,Liverpool FC ,"                                Aug 31, 2017                            ","Jun 30, 2023","Aug 22, 2019",Nike,"['http://twitter.com/Alex_OxChambo', 'http://www.facebook.com/alexoxchamberlain', 'http://www.instagram.com/alexoxchamberlain/', 'http://www.alexoxladechamberlain.com']",                $17.60m                ,Alexander Mark David Oxlade-Chamberlain,,,,,
Jordan Henderson,"Jun 17, 1990 ",Sunderland   ,32,"1,87 m",  England                            ,                            midfield - Central Midfield                        ,right,,Liverpool FC ,"                                Jul 1, 2011                            ","Jun 30, 2025","Aug 31, 2021",,"['http://twitter.com/JHenderson', 'http://www.facebook.com/Jordan-Henderson-180362872019250/?fref=pb&hc_location=profile_browser', 'http://www.instagram.com/jhenderson/']",                $16.50m                ,Jordan Brian Henderson,,,,,
James Milner,"Jan 4, 1986 ",Leeds   ,36,"1,75 m",  England                            ,                            midfield - Central Midfield                        ,right,,Liverpool FC ,"                                Jul 1, 2015                            ","Jun 30, 2023","Jun 6, 2022",Nike,"['http://twitter.com/JamesMilner', 'http://www.instagram.com/jamesmilnerofficial/']",                $2.20m                ,James Philip Milner,,,,,
Fabio Carvalho,"Aug 30, 2002 ",Torres Vedras   ,19,"1,70 m",  Portugal                            ,                            midfield - Attacking Midfield                        ,right,Relatives ,Liverpool FC ,"                                Jul 1, 2022                            ","Jun 30, 2027",,Nike,['http://www.instagram.com/_fabio.10/'],                $13.20m                ,Fábio Leandro Freitas Gouveia Carvalho,,,,,
Luis Diaz,"Jan 13, 1997 ",Barrancas   ,25,"1,80 m",  Colombia                            ,                            attack - Left Winger                        ,right,Nomi Sports ,Liverpool FC ,"                                Jan 30, 2022                            ","Jun 30, 2027",,,"['http://twitter.com/LuisFDiaz19', 'http://www.instagram.com/luisdiaz19_']",                $71.50m                ,Luis Fernando Díaz Marulanda,,,,,
Diogo Jota,"Dec 4, 1996 ",Porto   ,25,"1,78 m",  Portugal                            ,                            attack - Left Winger                        ,right,Gestifute ,Liverpool FC ,"                                Sep 19, 2020                            ","Jun 30, 2027","Aug 2, 2022",adidas,"['http://twitter.com/DiogoJota18', 'http://www.facebook.com/diogojota10', 'http://www.instagram.com/diogoj_18/']",                $66.00m                ,,,,,,
Mohamed Salah,"Jun 15, 1992 ","Nagrig, Basyoun   ",30,"1,75 m",  Egypt                            ,                            attack - Right Winger                        ,left,,Liverpool FC ,"                                Jul 1, 2017                            ","Jun 30, 2025","Jul 1, 2022",adidas,"['http://twitter.com/MoSalah', 'http://www.facebook.com/momosalah', 'http://www.instagram.com/mosalah/']",                $99.00m                ,محمد صلاح,,,,,
Harvey Elliott,"Apr 4, 2003 ",London   ,19,"1,70 m",  England                            ,                            attack - Right Winger                        ,left,,Liverpool FC ,"                                Jul 1, 2021                            ","Jun 30, 2027","Aug 11, 2022",New Balance,['http://www.instagram.com/harveyelliott07/'],                $24.20m                ,Harvey Scott Elliott,,,,,
Darwin Nunez,"Jun 24, 1999 ",Artigas   ,23,"1,87 m",  Uruguay                            ,                            attack - Centre-Forward                        ,right,Gestifute ,Liverpool FC ,"                                Jul 1, 2022                            ","Jun 30, 2028",,,"['http://twitter.com/darwinn99', 'http://www.instagram.com/darwin_n9/']",                $60.50m                ,Darwin Gabriel Núñez Ribeiro,,,,,
Roberto Firmino,"Oct 2, 1991 ",Maceió   ,30,"1,81 m",  Brazil                            ,                            attack - Centre-Forward                        ,right,ROGON ,Liverpool FC ,"                                Jul 1, 2015                            ","Jun 30, 2023","Apr 29, 2018",adidas,"['http://www.facebook.com/robertofirmino', 'http://www.instagram.com/roberto_firmino/']",                $35.20m                ,,,,,,
David De Gea,"Nov 7, 1990 ",Madrid   ,31,"1,89 m",  Spain                            ,                            Goalkeeper                        ,right,Relatives ,Manchester United ,"                                Jul 1, 2011                            ","Jun 30, 2023","Sep 16, 2019",adidas,"['http://twitter.com/D_DeGea', 'http://www.facebook.com/DavidDeGeaOficial/?fref=ts', 'http://www.instagram.com/d_degeaofficial/', 'http://degea1.com/']",                $16.50m                ,David de Gea Quintana,Option for a further year,,,,
Tom Heaton,"Apr 15, 1986 ",Chester   ,36,"1,88 m",  England                            ,                            Goalkeeper                        ,right,10Ten Football ,Manchester United ,"                                Jul 2, 2021                            ","Jun 30, 2023",,,"['http://twitter.com/TomHeatonGK', 'http://www.instagram.com/tomheatongk/']",                $880Th.                ,Thomas David Heaton,Option for a further year,,,,
Raphael Varane,"Apr 25, 1993 ",Lille   ,29,"1,91 m",  France  Martinique                            ,                            Defender - Centre-Back                        ,right,CAA Base Ltd ,Manchester United ,"                                Aug 14, 2021                            ","Jun 30, 2025",,Puma,"['http://twitter.com/raphaelvarane', 'http://www.facebook.com/raphaelvarane/', 'http://www.instagram.com/raphaelvarane/', 'http://www.raphael-varane.net/']",                $52.80m                ,Raphaël Xavier Varane,,,,,
Harry Maguire,"Mar 5, 1993 ",Sheffield   ,29,"1,94 m",  England                            ,                            Defender - Centre-Back                        ,right,Triple S Sports ,Manchester United ,"                                Aug 5, 2019                            ","Jun 30, 2025",,Puma,"['http://twitter.com/HarryMaguire93', 'http://www.facebook.com/HarryMaguire93/', 'http://www.instagram.com/harrymaguire93/']",                $41.80m                ,Jacob Harry Maguire,Option for a further year,,,,
Lisandro Martinez,"Jan 18, 1998 ",Gualeguay   ,24,"1,75 m",  Argentina                            ,                            Defender - Centre-Back                        ,left,Scorefutbol ,Manchester United ,"                                Jul 27, 2022                            ","Jun 30, 2027",,,"['http://twitter.com/LisandrMartinez', 'http://www.instagram.com/lisandromartinezzz/']",                $35.20m                ,,Option for a further year,,,,
Victor Lindelof,"Jul 17, 1994 ",Västerås   ,28,"1,87 m",  Sweden                            ,                            Defender - Centre-Back                        ,right,HCM Sports Management ,Manchester United ,"                                Jul 1, 2017                            ","Jun 30, 2024","Sep 18, 2019",,"['http://twitter.com/vlindelof', 'http://www.instagram.com/victorlindelof/', 'http://www.victorlindelof.com/']",                $24.20m                ,Victor Jörgen Nilsson-Lindelöf,,,,,
Axel Tuanzebe,"Nov 14, 1997 ",Bunia   ,24,"1,85 m",  England  DR Congo                            ,                            Defender - Centre-Back                        ,right,Relatives ,Manchester United ,"                                Jan 1, 2017                            ","Jun 30, 2023","Aug 8, 2021",,['http://www.instagram.com/axeltuanzebe_38/'],                $7.70m                ,,,,,,
Eric Bailly,"Apr 12, 1994 ",Bingerville   ,28,"1,87 m",  Cote d'Ivoire                            ,                            Defender - Centre-Back                        ,right,AMS CONSULTING ,Manchester United ,"                                Jul 1, 2016                            ","Jun 30, 2024","Apr 26, 2021",Puma,"['http://twitter.com/ericbailly24', 'http://www.facebook.com/EricBailly24/?fref=ts', 'http://www.instagram.com/ericbailly24/']",                $6.60m                ,Eric Bertrand Bailly,Option for a further year,,,,
Phil Jones,"Feb 21, 1992 ",Preston   ,30,"1,85 m",  England                            ,                            Defender - Centre-Back                        ,right,Wasserman ,Manchester United ,"                                Jul 1, 2011                            ","Jun 30, 2023","Feb 8, 2019",adidas,"['http://twitter.com/PhilJones4', 'http://www.facebook.com/PJ4Official', 'http://www.instagram.com/philjones_4/']",                $3.30m                ,Philip Anthony Jones,Option for a further year,,,,
Teden Mengi,"Apr 30, 2002 ",Manchester   ,20,"1,86 m",  England  Angola                            ,                            Defender - Centre-Back                        ,right,CLOSEVIEW ,Manchester United ,"                                Jul 1, 2020                            ","Jun 30, 2024","Mar 17, 2021",,"['http://twitter.com/TedenMengi_', 'http://www.instagram.com/tedenmengi/']",                $2.20m                ,Teden Mambuene Mengi,club option 1 year,,,Manchester United U21 (#43),Manchester United UEFA U19 (#43)
Luke Shaw,"Jul 12, 1995 ",Kingston upon Thames   ,27,"1,78 m",  England                            ,                            Defender - Left-Back                        ,left,ICM Stellar Sports ,Manchester United ,"                                Jul 1, 2014                            ","Jun 30, 2023","Oct 18, 2018",adidas,"['http://twitter.com/LukeShaw23', 'http://www.facebook.com/lukeshawofficial', 'http://www.instagram.com/lukeshaw23/']",                $41.80m                ,Luke Paul Hoare Shaw,club option 1 year,,,,
Tyrell Malacia,"Aug 17, 1999 ",Rotterdam   ,23,"1,69 m",  Netherlands  Curacao                            ,                            Defender - Left-Back                        ,left,HCM Sports Management ,Manchester United ,"                                Jul 5, 2022                            ","Jun 30, 2026",,,"['http://twitter.com/TyrellMalaciia', 'http://www.instagram.com/tyrellmalacia/']",                $18.70m                ,,club option 1 year,,,,
Brandon Williams,"Sep 3, 2000 ",Crumpsall   ,21,"1,80 m",  England                            ,                            Defender - Left-Back                        ,right,,Manchester United ,"                                Jul 1, 2019                            ","Jun 30, 2024","Aug 4, 2020",Puma,"['http://twitter.com/branwilliams', 'http://www.instagram.com/branwilliams/?igshid=tn2crmuryd8u']",                $13.20m                ,Brandon Paul Brian Williams,,,,,
Aaron Wan Bissaka,"Nov 26, 1997 ",London   ,24,"1,83 m",  England  DR Congo                            ,                            Defender - Right-Back                        ,right,Unique Sports Group ,Manchester United ,"                                Jul 1, 2019                            ","Jun 30, 2024",,adidas,['http://www.instagram.com/a_bissaka/'],                $27.50m                ,,club option 1 year,,,,
Diogo Dalot,"Mar 18, 1999 ",Braga   ,23,"1,83 m",  Portugal                            ,                            Defender - Right-Back                        ,right,Proeleven S.A. ,Manchester United ,"                                Jul 1, 2018                            ","Jun 30, 2023",,Nike,"['http://twitter.com/DalotDiogo', 'http://www.facebook.com/DalotDiogo/', 'http://www.instagram.com/diogodalot/']",                $22.00m                ,José Diogo Dalot Teixeira,,,,,
Casemiro,"Feb 23, 1992 ",São José dos Campos   ,30,"1,85 m",  Brazil  Spain                            ,                            midfield - Defensive Midfield                        ,right,Best of You ,Manchester United ,"                                Aug 19, 2022                            ","Jun 30, 2026",,,"['http://twitter.com/Casemiro', 'http://www.facebook.com/Casemiro92', 'http://www.instagram.com/casemiro/']",                $44.00m                ,,Option for a further year,,,,
Scott Mctominay,"Dec 8, 1996 ",Lancaster   ,25,"1,91 m",  Scotland  England                            ,                            midfield - Defensive Midfield                        ,right,,Manchester United ,"                                Jul 1, 2017                            ","Jun 30, 2025","Jun 23, 2020",adidas,"['http://www.twitter.com/mctominay10', 'http://www.instagram.com/scottmctominay']",                $35.20m                ,Scott Francis McTominay,club option 1 year,,,,
James Garner,"Mar 13, 2001 ",Birkenhead   ,21,"1,82 m",  England                            ,                            midfield - Defensive Midfield                        ,right,Triple S Sports ,Manchester United ,"                                Jul 1, 2020                            ","Jun 30, 2024",,,"['http://twitter.com/jgarnerr96', 'http://www.instagram.com/jgarnerr96/']",                $7.70m                ,James David Garner,club option 1 year,,,,
Donny Van De Beek,"Apr 18, 1997 ",Nijkerkerveen   ,25,"1,84 m",  Netherlands                            ,                            midfield - Central Midfield                        ,right,HCM Sports Management ,Manchester United ,"                                Sep 2, 2020                            ","Jun 30, 2025",,adidas,"['http://twitter.com/Donny_beek6', 'http://www.facebook.com/DonnyvdBeek/', 'http://www.instagram.com/donnyvdbeek/']",                $27.50m                ,,,,,,
Fred,"Mar 5, 1993 ",Belo Horizonte   ,29,"1,69 m",  Brazil                            ,                            midfield - Central Midfield                        ,left,Fabio Mello Sports ,Manchester United ,"                                Jul 1, 2018                            ","Jun 30, 2023",,,"['http://twitter.com/Fred08oficial', 'http://www.facebook.com/fred08oficial/', 'http://www.instagram.com/fred08oficial/', 'http://www.fred8.com.br/']",                $22.00m                ,,Option for a further year,,,,
Bruno Fernandes,"Sep 8, 1994 ",Maia   ,27,"1,79 m",  Portugal                            ,                            midfield - Attacking Midfield                        ,right,MRP.POSITIONUMBER ,Manchester United ,"                                Jan 29, 2020                            ","Jun 30, 2026","Apr 1, 2022",Nike,"['http://twitter.com/B_Fernandes8', 'http://www.facebook.com/BrunoFernandesOfficial/', 'http://www.instagram.com/brunofernandes.10/']",                $93.50m                ,Bruno Miguel Borges Fernandes,Option for a further year,,,,
Christian Eriksen,"Feb 14, 1992 ",Middelfart   ,30,"1,82 m",  Denmark                            ,                            midfield - Attacking Midfield                        ,right,The Talents Sportsmanagement ,Manchester United ,"                                Jul 15, 2022                            ","Jun 30, 2025",,Nike,"['http://twitter.com/ChrisEriksen8', 'http://www.instagram.com/chriseriksen8/']",                $22.00m                ,Christian Dannemann Eriksen,,,,,
Hannibal Mejbri,"Jan 21, 2003 ",Ivry-sur-Seine   ,19,"1,84 m",  Tunisia  France                            ,                            midfield - Attacking Midfield                        ,right,Footinveston ,Manchester United U21 ,"                                Jul 1, 2020                            ","Jun 30, 2026","Mar 16, 2021",adidas,['http://instagram.com/hannibal.mj/'],                $6.60m                ,حنبعل المجبري,,,,Manchester United (#46),
Jadon Sancho,"Mar 25, 2000 ",London   ,22,"1,80 m",  England  Trinidad and Tobago                            ,                            attack - Left Winger                        ,right,Elite Project Group Ltd ,Manchester United ,"                                Jul 23, 2021                            ","Jun 30, 2026",,Nike,"['http://twitter.com/Sanchooo10', 'http://instagram.com/sanchooo10/']",                $82.50m                ,Jadon Malik Sancho,Option for a further year,,,,
Marcus Rashford,"Oct 31, 1997 ",Manchester   ,24,"1,85 m",  England  St. Kitts & Nevis                            ,                            attack - Left Winger                        ,right,Relatives ,Manchester United ,"                                Jan 1, 2016                            ","Jun 30, 2023","Jul 1, 2019",Nike,"['http://twitter.com/MarcusRashford', 'http://www.facebook.com/MarcusRashford/', 'http://www.instagram.com/marcusrashford/']",                $66.00m                ,,club option 1 year,,,,
Anthony Elanga,"Apr 27, 2002 ",Hyllie   ,20,"1,78 m",  Sweden  Cameroon                            ,                            attack - Left Winger                        ,right,ICM Stellar Sports ,Manchester United ,"                                Jul 1, 2021                            ","Jun 30, 2026","Dec 24, 2021",Nike,['http://www.instagram.com/anthonyelanga/'],                $22.00m                ,Anthony David Junior Elanga,,,,,
Alejandro Garnacho,"Jul 1, 2004 ",Madrid   ,18,"1,80 m",  Argentina  Spain                            ,                            attack - Left Winger                        ,right,#LEADERS ,Manchester United ,"                                Jul 1, 2022                            ","Jun 30, 2023",,Nike,"['http://twitter.com/agarnacho7', 'http://www.instagram.com/garnacho7/', 'http://vm.tiktok.com/ZMNFpNpQb']",                $2.20m                ,Alejandro Garnacho Ferreira,,,,,
Amad Diallo,"Jul 11, 2002 ",Abidjan   ,20,"1,73 m",  Cote d'Ivoire  Italy                            ,                            attack - Right Winger                        ,left,AMS CONSULTING ,Manchester United ,"                                Jan 2, 2021                            ","Jun 30, 2025",,,"['http://twitter.com/Amaddiallo_19', 'http://instagram.com/amaddiallo19']",                $16.50m                ,Amad Diallo Traoré,,,,,
Shola Shoretire,"Feb 2, 2004 ",Newcastle   ,18,"1,71 m",  England  Nigeria                            ,                            attack - Right Winger                        ,right,Gestifute ,Manchester United ,"                                Jul 1, 2021                            ",-,,adidas,"['http://twitter.com/SholaShoretire', 'http://www.instagram.com/sholashoretire/']",                $4.40m                ,Shola Maxwell Shoretire,,,,Manchester United U21 (#47),Manchester United UEFA U19 (#47)
Tahith Chong,"Dec 4, 1999 ",Willemstad   ,22,"1,85 m",  Netherlands  Curacao                            ,                            attack - Right Winger                        ,left,ICM Stellar Sports ,Manchester United ,"                                Jul 1, 2019                            ","Jun 30, 2023","Mar 9, 2020",,"['http://twitter.com/tahithc', 'http://www.instagram.com/tahithchong/']",                $3.85m                ,Tahith Jose Chong,,,,,
Facundo Pellistri,"Dec 20, 2001 ",Montevideo   ,20,"1,74 m",  Uruguay  Spain                            ,                            attack - Right Winger                        ,right,Equipo TMA ,Manchester United ,"                                Oct 5, 2020                            ","Jun 30, 2025",,,['http://www.instagram.com/facu_pellistri/'],                $2.75m                ,Facundo Pellistri Rebollo,,,,,
Mason Greenwood,"Oct 1, 2001 ",Bradford   ,20,"1,81 m",  England                            ,                            attack - Right Winger                        ,both,,Manchester United ,"                                Jul 1, 2019                            ","Jun 30, 2025","Feb 16, 2021",,"['http://twitter.com/masongreenwood', 'http://www.instagram.com/masongreenwood/']",                -                ,Mason Will John Greenwood,club option 1 year,,,,
Cristiano Ronaldo,"Feb 5, 1985 ",Funchal   ,37,"1,87 m",  Portugal                            ,                            attack - Centre-Forward                        ,right,Gestifute ,Manchester United ,"                                Aug 31, 2021                            ","Jun 30, 2023",,Nike,"['http://twitter.com/Cristiano', 'http://www.facebook.com/Cristiano', 'http://www.instagram.com/cristiano', 'http://www.cristianoronaldo.com/']",                $33.00m                ,,Option for a further year,,,,
Anthony Martial,"Dec 5, 1995 ",Massy   ,26,"1,81 m",  France  Guadeloupe                            ,                            attack - Centre-Forward                        ,right,USFA Management ,Manchester United ,"                                Sep 1, 2015                            ","Jun 30, 2024","Jan 31, 2019",Nike,"['http://twitter.com/AnthonyMartial', 'http://www.facebook.com/AnthonyMartialAM9', 'http://www.instagram.com/martial_9/', 'http://www.anthonymartial-official.com/']",                $17.60m                ,Anthony Jordan Martial,,,,,
Aaron Ramsdale,"May 14, 1998 ",Chesterton   ,24,"1,90 m",  England                            ,                            Goalkeeper                        ,right,World in Motion ,Arsenal FC ,"                                Aug 20, 2021                            ","Jun 30, 2025",,adidas,"['http://twitter.com/AaronRamsdale98', 'http://www.instagram.com/aaronramsdale/']",                $30.80m                ,Aaron Christopher Ramsdale,Option for a further year,,,,
Matt Turner,"Jun 24, 1994 ","Park Ridge, New Jersey   ",28,"1,91 m",  United States  Lithuania                            ,                            Goalkeeper                        ,right,Wasserman ,Arsenal FC ,"                                Jul 1, 2022                            ","Jun 30, 2025",,,"['http://twitter.com/headdturnerr', 'http://www.instagram.com/headdturnerr/']",$5.50m ,Matthew Charles Turner,club option 1 year,,,,
Ben White,"Oct 8, 1997 ",Poole   ,24,"1,86 m",  England                            ,                            Defender - Centre-Back                        ,right,,Arsenal FC ,"                                Jul 30, 2021                            ","Jun 30, 2026",,adidas,"['http://twitter.com/ben6white', 'http://www.instagram.com/ben_white6/']",                $44.00m                ,Benjamin William White,,,,,
Gabriel Magalhaes,"Dec 19, 1997 ",São Paulo   ,24,"1,90 m",  Brazil                            ,                            Defender - Centre-Back                        ,left,,Arsenal FC ,"                                Sep 1, 2020                            ","Jun 30, 2025",,,"['http://twitter.com/biel_m04', 'http://www.instagram.com/_gabrielmagalhaes/']",                $41.80m                ,,,,,,
William Saliba,"Mar 24, 2001 ",Bondy   ,21,"1,92 m",  France  Cameroon                            ,                            Defender - Centre-Back                        ,right,ND SPORTS MANAGEMENT ,Arsenal FC ,"                                Jul 25, 2019                            ","Jun 30, 2024",,,['http://www.instagram.com/w.saliba4/'],                $33.00m                ,William Alain André Gabriel Saliba,,,,,
Rob Holding,"Sep 20, 1995 ",Stalybridge   ,26,"1,89 m",  England                            ,                            Defender - Centre-Back                        ,right,ICM Stellar Sports ,Arsenal FC ,"                                Jul 22, 2016                            ","Jun 30, 2024","Jan 12, 2021",Nike,"['http://twitter.com/RobHolding95', 'http://www.instagram.com/rholding95/']",                $11.00m                ,Robert Samuel Holding,club option 1 year,,,,
Kieran Tierney,"Jun 5, 1997 ",Douglas   ,25,"1,80 m",  Scotland  Isle of Man                            ,                            Defender - Left-Back                        ,left,ICM Stellar Sports ,Arsenal FC ,"                                Aug 8, 2019                            ","Jun 30, 2026","Jun 25, 2021",adidas,"['http://twitter.com/kierantierney1', 'http://www.facebook.com/KieranTierneyOfficial', 'http://www.instagram.com/kierantierney/']",                $35.20m                ,,,,,,
Oleksandr Zinchenko,"Dec 15, 1996 ","Radomyshl, Zhytomyr Oblast   ",25,"1,75 m",  Ukraine                            ,                            Defender - Left-Back                        ,left,Anatoliy Patuk ,Arsenal FC ,"                                Jul 22, 2022                            ","Jun 30, 2026",,Puma,['http://www.instagram.com/zinchenko_96/?hl=it'],                $27.50m                ,Зінченко Олександр Володимирович,,,,,
Takehiro Tomiyasu,"Nov 5, 1998 ","Fukuoka, Fukuoka   ",23,"1,88 m",  Japan                            ,                            Defender - Right-Back                        ,right,UDN SPORTS ,Arsenal FC ,"                                Aug 31, 2021                            ","Jun 30, 2025",,,['http://www.instagram.com/tomiyasu.t/'],                $27.50m                ,冨安 健洋,Option for a further year,,,,
Hector Bellerin,"Mar 19, 1995 ",Badalona   ,27,"1,77 m",  Spain                            ,                            Defender - Right-Back                        ,right,Goal Management ,Arsenal FC ,"                                Jul 1, 2014                            ","Jun 30, 2023","Nov 21, 2016",Puma,"['http://twitter.com/HectorBellerin', 'http://www.facebook.com/HectorBellerin', 'http://www.instagram.com/hectorbellerin/', 'http://www.hectorbellerin.com/']",                $22.00m                ,Héctor Bellerín Moruno,,,,,
Cedric Soares,"Aug 31, 1991 ",Singen   ,30,"1,71 m",  Portugal  Germany                            ,                            Defender - Right-Back                        ,right,,Arsenal FC ,"                                Jul 1, 2020                            ","Jun 30, 2024",,,"['http://twitter.com/OficialCedric', 'http://www.facebook.com/cedric.soares.pagina.oficial/', 'http://www.instagram.com/cedricsoares41/?hl=fr']",                $6.60m                ,Cédric Ricardo Alves Soares,,,,,
Thomas Partey,"Jun 13, 1993 ",Odumase Krobo   ,29,"1,85 m",  Ghana                            ,                            midfield - Defensive Midfield                        ,right,JJ SPORT ,Arsenal FC ,"                                Oct 5, 2020                            ","Jun 30, 2025",,Nike,"['http://twitter.com/thomaspartey22', 'http://www.facebook.com/ThomasPartey5', 'http://www.instagram.com/thomaspartey5/']",                $41.80m                ,Thomas Teye Partey,,,,,
